,geometry
18502,POINT (30.2855807044704 59.9425318)
18580,POINT (30.276545527994 59.93573985)
18592,POINT (30.2832896 59.94199870000001)
18597,POINT (30.2821127 59.9462759)
18604,POINT (30.2699837459382 59.93805615)
18615,POINT (30.263630411099 59.9435944)
18628,POINT (30.2614094283714 59.94525055)
18673,POINT (30.2635383 59.9386045)
18690,POINT (30.2607770322319 59.945508)
18709,POINT (30.2828192 59.936834)
18793,POINT (30.2847516 59.93753349999999)
18838,POINT (30.27914 59.9394077)
18883,POINT (30.2856936 59.9431275)
18909,POINT (30.2573039976672 59.93046485)
18967,POINT (30.2614635439515 59.9444876)
19103,POINT (30.2792865954715 59.94635110000001)
19135,POINT (30.2914018698321 59.93889975)
19173,POINT (30.2820283 59.9375215)
19174,POINT (30.2798883 59.9394299)
19243,POINT (30.2743519 59.9412647)
19261,POINT (30.25992652314811 59.9465005)
19294,POINT (30.2749756 59.9436149)
19298,POINT (30.2783258906592 59.94593885)
19301,POINT (30.2657375207082 59.94503525)
19306,POINT (30.2726719 59.945064)
19377,POINT (30.2899529 59.9417601)
19510,POINT (30.2777415 59.9423638)
19581,POINT (30.2840381 59.9468881)
19587,POINT (30.2704931811817 59.9423328)
19600,POINT (30.2809470673034 59.94728489999999)
19603,POINT (30.26016960282569 59.94700315)
19613,POINT (30.2771674075713 59.94556035)
19631,POINT (30.2743394541225 59.9405275)
19633,POINT (30.2571781570796 59.9459308)
19842,POINT (30.28511 59.940763)
19913,POINT (30.27131299752311 59.93432610000001)
19942,POINT (30.2805138998995 59.94636525)
19959,POINT (30.2673671501659 59.93324575)
20047,POINT (30.27914 59.9394077)
20135,POINT (30.2757125 59.9489123)
20161,POINT (30.2749305 59.9401281)
20257,POINT (30.26994740334431 59.93388835)
20271,POINT (30.26580460000001 59.93926750000001)
20282,POINT (30.26895734989289 59.9423355)
20290,POINT (30.2812558596359 59.94478875)
20374,POINT (30.27977288513101 59.94714585)
20445,POINT (30.2760947042232 59.93899335)
20468,POINT (30.2860484 59.9451231)
20486,POINT (30.2821127 59.9462759)
20615,POINT (30.287385 59.94512170000001)
20617,POINT (30.2635383 59.9386045)
20621,POINT (30.2696219019065 59.93266759999999)
20624,POINT (30.269790231416 59.9424524)
20627,POINT (30.2612339 59.93731529999999)
20659,POINT (30.2673671501659 59.93324575)
20670,POINT (30.26993863181231 59.943528)
20673,POINT (30.2755347 59.94606870000001)
20878,POINT (30.2809553 59.9414161)
20897,POINT (30.2821097 59.9427366)
20899,POINT (30.2873516266917 59.9419948)
20919,POINT (30.2899363868118 59.93969615)
20938,POINT (30.2889623 59.9432934)
20960,POINT (30.27123787096361 59.94179255)
20974,POINT (30.2640523 59.943884)
21001,POINT (30.2622731623487 59.94286750000001)
21003,POINT (30.2718796591609 59.9450465)
21077,POINT (30.2820916098349 59.9455904)
21106,POINT (30.2694835364308 59.93747435)
21326,POINT (30.2734479 59.94200350000001)
21344,POINT (30.2589508361438 59.9466499)
21346,POINT (30.2715309 59.9434108)
21368,POINT (30.2743740389211 59.9388792)
21516,POINT (30.2865585 59.9447057)
21517,POINT (30.2889623 59.9432934)
21531,POINT (30.2793421833544 59.94753935)
21565,POINT (30.2778044 59.9405622)
21586,POINT (30.2852966745108 59.94182065)
21598,POINT (30.2869333 59.9443191)
21636,POINT (30.2895190189162 59.93994085)
21647,POINT (30.2707979892571 59.9343338)
21666,POINT (30.2746250853371 59.948624)
21693,POINT (30.272007873862 59.9424882)
